categories/folders,Item Code,pic File name,Description,"oz., lb., gram, kg",Pieces Per Case,Price,Price Per Piece,Kashrut
Candles_Household Items,CANDLE981,CANDLE97.png,Shabbat Cand.Reg 12/72pcs Rakish,,12,51.00,$4.25,
Candles_Household Items,CANDLE98,CANDLE98.jpg,Shabbat Candle Reg. 72pcs /8 (Menora),,8,37.00,$4.63,
Candles_Household Items,CANDLE97,CANDLE97.png,Shabbat Candles Box 24/12 candl (Menora),,24,24.00,$1.00,
Candles_Household Items,TPOT02,TPOT02.JPG,Tea Pot Blue GMI /36,,36,108.00,$3.00,
Candles_Household Items,TPOT01,TPOT01.jpg,Tea Pot Rose Flower #1 /24,,24,84.00,$3.50,
Candles_Household Items,CANDLE92,CANDLE92.png,Tea-Lights 100pcs in bag/6 bags (Menora),100 pcs,6,36.00,$6.00,
Candles_Household Items,CANDLE90,CANDLE90.jpg,Tea-Lights 10pcs in box/60 boxes (Menora),10 pcs,60,36.00,$0.60,
Candles_Household Items,CANDLE91,CANDLE91.png,Tea-Lights 50pcs in bag/10 bags (Menora),50 pcs,10,34.00,$3.40,
Candles_Household Items,SPON01,SPON01.jpg,Titex Israeli Sponges /12 pcs,,12,30.00,$2.50,
Candy,CAND30,salesman catalog PICS,Crystal Fruits Matlow 6bg/6lb,6 lbs,6,93.60,$15.60,
Candy,CAND32,salesman catalog PICS,Crystal Lemon Matlow 6bg/6lb,6 lbs,6,93.60,$15.60,
Candy,CAND31,salesman catalog PICS,Crystal Mints Matlow 6bg/6lb,6 lbs,6,93.60,$15.60,
Candy,JELL01,,Jelly Fruit Slice Half Moon24/8oz-kfp,,24,52.00,$2.17,
Candy,MARSH01,MARSH01.jpg,Marshmallow Fluff 12/ 7.5 oz,,12,12.50,$1.04,
Candy,MARSH010,MARSH010.jpg,Marshmallow Fluff 12/16 oz,,12,23.00,$1.92,
Candy,MARSH021,MARSH021.jpg,Raspberry Fluff 12/ 7.5 oz,,12,12.50,$1.04,
Candy,NABAT011,NABAT041.jpg,Rock (3220) Stick Assorted Wrapped Swiz 72 CT,,72,45.00,$0.63,
Candy,NABAT001,NABAT001.jpg,Rock Candy (1200)Strings White 6/5 lb,,6,135.00,$22.50,
Candy,NABAT0,Rock Candy (1210)String  Assorted  6/5 lb.jpg,Rock Candy (1210)String  Assorted  6/5 lb,,6,135.00,$22.50,
Candy,NABAT06,NABAT06.jpg,Rock Candy (2330) Crystal Amber in bulk 25 lb,,25,74.00,$2.96,
Candy,NABAT07,NABAT07.jpg,Rock Candy (3310) Crystal Amber Swiz 4/72,,4,84.00,$21.00,
Candy,NABAT041,NABAT041.jpg,Rock Candy 4220 on Sticks Assorted Wrapped 120 sticks,,120,62.40,$0.52,
Candy,NABAT04,Rock Candy on Sticks Assorted 120 sticks.jpg,Rock Candy on Sticks Assorted 120 sticks,,120,54.00,$0.45,
Candy,NABAT05,NABAT041.jpg,Rock Candy on Sticks AssortedBlue Raspberry 120 stick,,120,54.00,$0.45,
Candy,ROCK02,,Rock Candy Pieces Yellow 44 lb,,44,55.00,$1.25,
Candy,NABAT01,NABAT01.jpeg,Rock Stick White Wrapped 72 CT,,72,42.00,$0.58,
Candy,MARSH02,MARSH02.jpg,Strawberry Fluff 12/ 7.5 oz,,12,12.50,$1.04,
Candy,NABAT02,NABAT041.jpg,Swizzle Candy (3210)Sticks Assorted 4/72 sticks,,4,92.00,$23.00,
Candy,NABAT03,NABAT01.jpeg,Swizzle(3110 ) Sticks White 4/72 sticks,,4,85.00,$21.25,
Cheese,CHEE06,CHEE06.jpg,Keshta Dairyland Danish Cream 48/6oz,6 oz,48,74.00,$1.54,
Coffee,COFF004,COFF004.jpg,Aladin Turkish Coffee-bags 24/200 gr,200 grm,24,120.00,$5.00,
Coffee,COFF0021,COFF0021.jpg,Elite Israeli Instant Coffee 12/7 oz,7 oz,12,78.00,$6.50,
Coffee,COFF10,COFF10.jpg,Elite Turkish Coffee 50/100 gr(red),100 gr,50,128.00,$2.56,
Coffee,COFF3,COFF3.jpg,Elite Turkish Coffee Tins 24/7 oz,7 oz,24,120.00,$5.00,
Coffee,COFF2,COFF2.jpg,Elite Turkish Coffee with Cardamon 50/100 gram (green),100 gr,50,128.00,$2.56,
Coffee,COFF96,COFF96.jpg,JACOBS Instant Coffee 6/100gr (Cronat Gold),100 grm,6,22.50,$3.75,
Coffee,COFF961,COFF961.jpg,JACOBS Instant Coffee 6/100gr (Cronat Green),100 grm,6,25.50,$4.25,
Coffee,COFF95,COFF95.jpg,JACOBS Instant Coffee 6/200gr (Cronat Gold),200 grm,6,44.00,$7.33,
Coffee,COFF951,COFF951.jpg,JACOBS Instant Coffee 6/200gr (Cronat Green),200 grm,6,48.00,$8.00,
Coffee,COFF71,COFF71.jpg,Nescafe Instant Coffee 6/200gm,200 grm,6,52.00,$8.67,
Coffee,CHO04,,Nesquik Choc. Drink Mix 6/16oz-KFP,16 oz,6,27.00,$4.50,
Coffee,COFF511,COFF511.jpg,Platinum Coffee (NEW STYLE) 6/7.05 oz,7.05 oz,6,63.00,$10.50,
Coffee,COFF90,COFF90.jpg,Venizelos Coffee 24/16oz,16 oz,24,132.00,$5.50,
Cookies_Crackers_Halva_Crunches_Wafer_Chocolate,HALV23,,Achva  Halva 7 Layers CH/Coated 4/3KG,3 kg,12,71.40,$5.95,
